Date,Region,total_streams
2017-01-16,lt,80575
2017-01-16,lu,11067
2017-01-16,lv,76315
2017-01-16,mx,13889192
2017-01-16,my,1578964
2017-01-16,nl,7876264
2017-01-16,no,4509986
2017-01-16,nz,2028255
2017-01-16,pa,264145
2017-01-16,pe,1875213
2017-01-16,ph,8709338
2017-01-16,pl,1870407
2017-01-16,pt,1152182
2017-01-16,py,317116
2017-01-16,se,7940123
2017-01-16,sg,2003499
2017-01-16,sk,70663
2017-01-16,sv,148297
2017-01-16,tr,1828437
2017-01-16,tw,1083379
2017-01-16,us,58120310
2017-01-16,uy,494422
2017-01-17,ar,6335225
2017-01-17,at,766195
2017-01-17,au,7512031
2017-01-17,be,1160874
2017-01-17,bo,198595
2017-01-17,br,14683561
2017-01-17,ca,7399325
2017-01-17,ch,1072164
2017-01-17,cl,4792053
2017-01-17,co,1964131
2017-01-17,cr,868663
2017-01-17,cz,474326
2017-01-17,de,12506244
2017-01-17,dk,3836701
2017-01-17,do,334092
2017-01-17,ec,726327
2017-01-17,ee,69421
2017-01-17,es,8685420
2017-01-17,fi,2980705
2017-01-17,fr,6243767
2017-01-17,gb,18205914
2017-01-17,global,184819442
2017-01-17,gr,119199
2017-01-17,gt,365300
2017-01-17,hk,796369
2017-01-17,hn,200218
2017-01-17,hu,333886
2017-01-17,id,2706377
2017-01-17,ie,1526012
2017-01-17,is,120934
2017-01-17,it,4468233
2017-01-17,jp,437843
2017-01-17,lt,89639
2017-01-17,lu,12192
2017-01-17,lv,82753
2017-01-17,mx,14776570
2017-01-17,my,1586279
2017-01-17,nl,7791784
2017-01-17,no,4558644
2017-01-17,nz,1994739
2017-01-17,pa,285907
2017-01-17,pe,1934647
2017-01-17,ph,8798846
2017-01-17,pl,1846714
2017-01-17,pt,1165439
2017-01-17,py,343296
2017-01-17,se,8082636
2017-01-17,sg,2027045
2017-01-17,sk,73901
2017-01-17,sv,158476
2017-01-17,tr,1888230
2017-01-17,tw,1133344
2017-01-17,us,60334233
2017-01-17,uy,528915
2017-01-18,ar,6577255
2017-01-18,at,785632
2017-01-18,au,7625357
2017-01-18,be,1253640
2017-01-18,bo,200151
2017-01-18,br,14971081
2017-01-18,ca,7430383
2017-01-18,ch,1103806
2017-01-18,cl,4846065
2017-01-18,co,1989988
2017-01-18,cr,860884
2017-01-18,cz,465438
2017-01-18,de,12805969
2017-01-18,dk,3856830
2017-01-18,do,346726
2017-01-18,ec,740095
2017-01-18,ee,64611
2017-01-18,es,8791098
2017-01-18,fi,3187722
2017-01-18,fr,6961820
2017-01-18,gb,18418580
2017-01-18,global,187499886
2017-01-18,gr,108121
2017-01-18,gt,366947
2017-01-18,hk,811015
2017-01-18,hn,193761
2017-01-18,hu,326724
2017-01-18,id,2685306
2017-01-18,ie,1577730
2017-01-18,is,120205
2017-01-18,it,4546121
2017-01-18,jp,413298
2017-01-18,lt,89407
2017-01-18,lu,13232
2017-01-18,lv,80226
2017-01-18,mx,14708553
2017-01-18,my,1599652
2017-01-18,nl,7998162
2017-01-18,no,4694591
2017-01-18,nz,1980074
2017-01-18,pa,282744
2017-01-18,pe,1948696
2017-01-18,ph,8996635
2017-01-18,pl,1809685
2017-01-18,pt,1179810
2017-01-18,py,355553
2017-01-18,se,8239084
2017-01-18,sg,2026110
2017-01-18,sk,69044
2017-01-18,sv,155547
2017-01-18,tr,1894593
2017-01-18,tw,1167892
